fold,nail_backbone,conj_backbone,best_epoch,mae,r2,acc@0.5,acc@1.0,acc@2.0,train_loss
0,timm/convnext_small.in12k,timm/convnext_small.in12k,22,1.1241475343704224,-0.0088896840141377,0.3,0.4,0.8,1.303778886795044
0,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,7,1.2646756172180176,-0.3104636411984829,0.2,0.4,0.8,3.8098089694976807
1,timm/convnext_small.in12k,timm/convnext_small.in12k,25,1.231222152709961,-0.20135096882578463,0.4,0.45,0.8,1.172727108001709
1,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,42,1.3255469799041748,-0.21148275578624887,0.3,0.45,0.8,0.8784253597259521
2,timm/convnext_small.in12k,timm/convnext_small.in12k,26,0.3343048095703125,-1.8980000013757579,0.75,0.9375,1.0,1.0470184087753296
2,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,30,0.21692109107971191,-0.04886899146603452,0.9375,1.0,1.0,1.4789716005325317
3,timm/convnext_small.in12k,timm/convnext_small.in12k,13,0.7627303600311279,-0.17033359809061,0.625,0.6875,1.0,2.2767443656921387
3,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,27,0.7017706632614136,-0.3162217595442145,0.6875,0.75,0.75,1.2944151163101196
4,timm/convnext_small.in12k,timm/convnext_small.in12k,38,0.6567685604095459,0.5195041674600629,0.625,0.6875,1.0,1.0956662893295288
4,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,36,0.7793005108833313,0.3433904836996341,0.5,0.625,1.0,1.0290074348449707
