fold,nail_backbone,conj_backbone,epoch,mae,r2,acc@0.5,acc@1.0,acc@2.0,train_loss
0,timm_convnext_base.clip_laion2b_augreg_ft_in12k,timm_convnext_base.clip_laion2b_augreg_ft_in12k,5,0.7185949087142944,0.572494581870024,0.35,0.7,1.0,2.367582416534424
0,timm_convnext_base.clip_laion2b_augreg_ft_in12k,timm_convnext_small.in12k,8,0.817513644695282,0.4808931754183239,0.25,0.75,1.0,1.3258660554885864
4,timm_convnext_base.clip_laion2b_augreg_ft_in12k,timm_convnext_small.in12k,33,0.7603534460067749,0.30446819680078285,0.5,0.625,0.875,0.7591013073921203
0,timm_convnext_base.clip_laion2b_augreg_ft_in12k,timm_efficientnet_b5.sw_in12k,17,1.0081064701080322,0.18569624168082344,0.2,0.5,0.9,1.5538263320922852
4,timm_convnext_base.clip_laion2b_augreg_ft_in12k,timm_rexnetr_300.sw_in12k,33,0.7840515971183777,0.3152221927116422,0.5,0.6875,1.0,0.5599056124687195
1,timm_convnext_small.in12k,timm_convnext_small.in12k,25,1.0746376514434814,0.1453909938041057,0.45,0.65,0.8,0.8751523494720459
1,timm_convnext_small.in12k,timm_rexnetr_300.sw_in12k,33,1.168931245803833,0.11240581019803342,0.35,0.4,0.8,0.8526177644729614
3,timm_convnext_small.in12k,timm_rexnetr_300.sw_in12k,19,0.6499280333518982,0.11045902747568259,0.5625,0.75,0.875,0.8788659811019898
4,timm_regnety_120.sw_in12k,timm_convnext_base.clip_laion2b_augreg_ft_in12k,65,0.7506551146507263,0.3077745421621194,0.625,0.625,0.9375,0.4287555396556854
4,timm_regnety_120.sw_in12k,timm_convnext_small.in12k,40,0.5936270952224731,0.44810524460760837,0.6875,0.75,0.9375,0.751111102104187
4,timm_regnety_120.sw_in12k,timm_rexnetr_300.sw_in12k,56,0.7587084174156189,0.06802441033703444,0.6875,0.75,0.8125,0.6446517527103424
4,timm_resnetaa101d.sw_in12k,timm_convnext_base.clip_laion2b_augreg_ft_in12k,41,0.785538375377655,0.26811855575092824,0.5,0.75,0.9375,0.7601949870586395
4,timm_resnetaa101d.sw_in12k,timm_convnext_small.in12k,43,0.9373267889022827,0.0817517693755977,0.375,0.5,0.875,0.7032145619392395
4,timm_resnetaa101d.sw_in12k,timm_efficientnet_b5.sw_in12k,30,0.8027004599571228,0.22460545396475728,0.5625,0.625,0.875,0.7399478077888488
4,timm_resnetaa101d.sw_in12k,timm_rexnetr_300.sw_in12k,69,0.8253306150436401,0.3149710119214125,0.375,0.625,0.875,0.6388774871826172
4,timm_rexnetr_300.sw_in12k,timm_convnext_base.clip_laion2b_augreg_ft_in12k,25,0.7428860664367676,0.2215250514163385,0.5,0.75,0.8125,1.2082576394081115
4,timm_rexnetr_300.sw_in12k,timm_convnext_small.in12k,34,0.8119344711303711,0.3737168956561815,0.5,0.5,1.0,0.775471544265747
4,timm_rexnetr_300.sw_in12k,timm_efficientnet_b5.sw_in12k,29,0.7557475566864014,0.4257032954613591,0.5,0.625,1.0,0.7835931658744812
4,timm_rexnetr_300.sw_in12k,timm_rexnetr_300.sw_in12k,18,0.7261309027671814,0.24556377859275103,0.5,0.75,0.8125,0.8645743608474732
